"filename", "language", "SCSS", "TypeScript React", "TypeScript", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\morzeBaltyckie.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\sopot.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\warszawa.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\wroclaw.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\discover\zakopane.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\houses\belinskogo.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\houses\casaDiEdi.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\houses\lemanLocke.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\houses\residenceLeCopacabana.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\houses\sugarLoft.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\inspirations\domyWakacyjne.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 28, 65
